Model,Algorithm,Photo 1,Photo 2,Cos Sim,Euci
VGG-Face,opencv,photos/photo-7-1.jpeg,photos/photo-7-2.jpeg,0.5880027542185737,0.907741423293469
VGG-Face,mtcnn,photos/photo-7-1.jpeg,photos/photo-7-2.jpeg,0.5873166195966906,0.9084969789749546
VGG-Face,retinaface,photos/photo-7-1.jpeg,photos/photo-7-2.jpeg,0.6382401430563102,0.850599620201761
Facenet,opencv,photos/photo-7-1.jpeg,photos/photo-7-2.jpeg,0.775374830576707,7.987497851256266
Facenet,mtcnn,photos/photo-7-1.jpeg,photos/photo-7-2.jpeg,0.7803355993880006,8.005253451853308
Facenet,retinaface,photos/photo-7-1.jpeg,photos/photo-7-2.jpeg,0.7568092888973889,8.321868153100327
OpenFace,opencv,photos/photo-7-1.jpeg,photos/photo-7-2.jpeg,0.9419453785878286,0.3407480792932521
OpenFace,mtcnn,photos/photo-7-1.jpeg,photos/photo-7-2.jpeg,0.9076173733766807,0.4298432806527156
OpenFace,retinaface,photos/photo-7-1.jpeg,photos/photo-7-2.jpeg,0.8782110564693782,0.49353610215499527
ArcFace,opencv,photos/photo-7-1.jpeg,photos/photo-7-2.jpeg,0.7455143904577218,2.310221044119874
ArcFace,mtcnn,photos/photo-7-1.jpeg,photos/photo-7-2.jpeg,0.7346860327084902,2.5407282067797436
ArcFace,retinaface,photos/photo-7-1.jpeg,photos/photo-7-2.jpeg,0.7454549723509082,2.283298555122623
